"CumulusCatalog","CumulusRecordID","CumulusRecordName","dcterms:modified","dcterms:title","dc:source","dcterms:type","ac:subtype","ac:caption","iptc:CVTerm","ac:subjectPart","ac:subjectOrientation","xmp:CreateDate","ac:digitizationDate","dcterms:creator","dc:creator","dcterms:rightsHolder","dcterms:license","dc:rights","dwc:scientificName","dwc:catalogNumber","dwc:recordedBy","dwc:recordNumber","dwc:country","dwc:countryCode","dwc:stateProvince","dwc:locality","dwc:decimalLatitude","dwc:decimalLongitude","exif:PixelXDimension","exif:PixelYDimension","HeroImage","xmp:Rating","ThumbnailUrlEnabled","PreviewUrlEnabled","FileFormat"
"flora_illustrations","2014","CALCXHER.TIF","","Calceolaria ×herbeohybrida","","Image","Illustration","","","","","2012-10-18 15:23:26","2012-10-18 15:23:26","Pearson, Su","","Royal Botanic Gardens Victoria","","","Calceolaria ×herbeohybrida","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2015","HAKEPETI.TIF","","Hakea petiolaris","","Image","Illustration","","","","","2012-10-18 15:26:14","2012-10-18 15:26:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea petiolaris","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2016","SYRITOME.TIF","","Syringa tomentella","","Image","Illustration","","","","","2012-10-18 15:28:06","2012-10-18 15:28:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Syringa tomentella","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2018","SYRIVILL.TIF","","Syringa villosa","","Image","Illustration","","","","","2012-10-18 15:28:06","2012-10-18 15:28:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Syringa villosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2019","HAKEPURP.TIF","","Hakea purpurea","","Image","Illustration","","","","","2012-10-18 15:26:14","2012-10-18 15:26:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea purpurea","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2020","HAKESALI.TIF","","Hakea salicifolia","","Image","Illustration","","","","","2012-10-18 15:26:14","2012-10-18 15:26:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea salicifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2022","CALDPANI.TIF","","Caldcluvia paniculosa","","Image","Illustration","","","","","2012-10-18 15:23:28","2012-10-18 15:23:28","Pearson, Su","","Royal Botanic Gardens Victoria","","","Caldcluvia paniculosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2024","HAKESERI.TIF","","Hakea sericea","","Image","Illustration","","","","","2012-10-18 15:26:16","2012-10-18 15:26:16","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea sericea","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2025","CALEOFFI.TIF","","Calendula officinalis","","Image","Illustration","","","","","2012-10-18 15:23:28","2012-10-18 15:23:28","Pearson, Su","","Royal Botanic Gardens Victoria","","","Calendula officinalis","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2027","HAKESUAV.TIF","","Hakea drupacea","","Image","Illustration","","","","","2012-10-18 15:26:16","2012-10-18 15:26:16","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea drupacea","","","","","","","",,,2362,2836,,,,,"TIFF Image"
